country,year,iso_code_energy,population_energy,gdp_energy,biofuel_cons_change_pct,biofuel_cons_change_twh,biofuel_cons_per_capita,biofuel_consumption,biofuel_elec_per_capita,biofuel_electricity,biofuel_share_elec,biofuel_share_energy,carbon_intensity_elec,coal_cons_change_pct,coal_cons_change_twh,coal_cons_per_capita,coal_consumption,coal_elec_per_capita,coal_electricity,coal_prod_change_pct,coal_prod_change_twh,coal_prod_per_capita,coal_production,coal_share_elec,coal_share_energy,electricity_demand,electricity_demand_per_capita,electricity_generation,electricity_share_energy,energy_cons_change_pct,energy_cons_change_twh,energy_per_capita_energy,energy_per_gdp_energy,fossil_cons_change_pct,fossil_cons_change_twh,fossil_elec_per_capita,fossil_electricity,fossil_energy_per_capita,fossil_fuel_consumption,fossil_share_elec,fossil_share_energy,gas_cons_change_pct,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_electricity,gas_energy_per_capita,gas_prod_change_pct,gas_prod_change_twh,gas_prod_per_capita,gas_production,gas_share_elec,gas_share_energy,greenhouse_gas_emissions,hydro_cons_change_pct,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_electricity,hydro_energy_per_capita,hydro_share_elec,hydro_share_energy,low_carbon_cons_change_pct,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_elec_per_capita,low_carbon_electricity,low_carbon_energy_per_capita,low_carbon_share_elec,low_carbon_share_energy,net_elec_imports,net_elec_imports_share_demand,nuclear_cons_change_pct,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_electricity,nuclear_energy_per_capita,nuclear_share_elec,nuclear_share_energy,oil_cons_change_pct,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_electricity,oil_energy_per_capita,oil_prod_change_pct,oil_prod_change_twh,oil_prod_per_capita,oil_production,oil_share_elec,oil_share_energy,other_renewable_consumption,other_renewable_electricity,other_renewable_exc_biofuel_electricity,other_renewables_cons_change_pct,other_renewables_cons_change_twh,other_renewables_elec_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_energy_per_capita,other_renewables_share_elec,other_renewables_share_elec_exc_biofuel,other_renewables_share_energy,per_capita_electricity,primary_energy_consumption_energy,renewables_cons_change_pct,renewables_cons_change_twh,renewables_consumption,renewables_elec_per_capita,renewables_electricity,renewables_energy_per_capita,renewables_share_elec,renewables_share_energy,solar_cons_change_pct,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_electricity,solar_energy_per_capita,solar_share_elec,solar_share_energy,wind_cons_change_pct,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_electricity,wind_energy_per_capita,wind_share_elec,wind_share_energy,iso_code_co2,population_co2,gdp_co2,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita_co2,energy_per_gdp_co2,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption_co2,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share,energy_per_capita_calc,co2_per_capita_calc,energy_intensity,co2_intensity,primary_energy_consumption_energy_lag1,primary_energy_consumption_energy_lag2,primary_energy_consumption_energy_lag3,co2_lag1,co2_lag2,co2_lag3,energy_intensity_lag1,energy_intensity_lag2,energy_intensity_lag3,co2_intensity_lag1,co2_intensity_lag2,co2_intensity_lag3
Brazil,1993,BRA,156794519.0,1298220843008.0,5.633,4.146,495.851,77.747,45.168,7.86,2.253,4.606,89.445,3.025,3.756,815.949,127.936,31.306,4.909,-0.612,-0.134,139.277,21.838,1.948,7.58,391.92,2252.178,252.003,20.024,4.73,78.152,11035.18,1.333,4.782,42.907,73.422,11.512,5996.768,940.26,4.568,55.71,17.143,6.351,43.395,2.475,0.388,276.761,17.143,6.351,276.761,43.395,0.154,2.571,31.21,5.248,32.561,652.958,1499.191,235.065,4164.42,93.279,38.688,4.81,33.219,747.508,1533.797,240.491,4767.435,95.432,44.29,42.99,10.969,-74.872,-3.658,1.228,2.819,0.442,7.83,0.175,0.073,4.456,32.8,768.929,39.642,6.216,4904.058,2.06,8.205,2592.087,406.425,2.466,45.559,15.575,4.984,8.82,1.107,0.171,31.786,7.895,99.333,1.978,0.233,0.923,1607.219,1730.256,5.275,36.877,746.28,1530.978,240.049,4759.604,95.256,44.217,196.796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BRA,156794574.0,1298220843008.0,10.164,0.065,244.306,10.705,4.583,1698.408,-79.73,-4.484,10.832,1.308,0.99,1.558,0.188,0.142,42.343,0.27,262.304,1.673,0.202,278.804,5419.867,80758.117,997.389,74.054,86.636,75572.406,3967.352,15.632,10825.511,1.321,7.576,0.048,8.73,0.056,2.509,13.163,1454.102,9.274,410.981,2.621,110.283,0.703,171.252,1.092,0.027,4.241,1715.203,1.841,1.074,6.125,0.498,2.01,0.618,5.241,0.215,0.829,0.095,11.312,1.334,0.623,3.241,0.217,29.235,1.858,1.962,4.476,0.014,0.03,0.046,0.002,2063.815,393.435,17.998,7.367,1.1035181657083236e-05,1.5581278979717656e-06,1.3327901869076197e-09,1.8818523929560307e-10,1652.104,1624.042,1562.972,233.601,229.394,218.658,1.3521569865017929e-09,1.3387645283622642e-09,1.3184350050933815e-09,1.9118967341269393e-10,1.8909889659204212e-10,1.8444755334305964e-10
Brazil,1994,BRA,159264962.0,1391783968768.0,7.429,5.775,524.423,83.522,45.168,7.86,2.253,4.737,89.445,2.654,3.395,824.611,131.332,31.21,4.971,11.527,2.517,152.921,24.355,1.911,7.449,391.92,2252.178,260.041,19.7,4.43,76.648,11345.27,1.298,5.114,48.089,74.67,11.892,6205.69,988.349,4.573,56.059,9.211,3.997,47.392,3.009,0.479,297.565,9.211,3.997,297.565,47.392,0.184,2.688,31.21,3.25,21.222,674.181,1523.908,242.705,4233.077,93.334,38.24,4.221,27.186,774.694,1558.085,248.148,4864.183,95.427,43.941,42.99,10.969,-87.557,-1.075,0.153,0.345,0.055,0.959,0.021,0.009,5.293,40.696,809.626,40.451,6.442,5083.514,3.702,15.047,2646.356,421.472,2.477,45.922,16.838,5.388,8.82,8.112,1.263,33.832,7.895,105.724,2.072,0.233,0.955,1632.755,1806.904,4.349,28.261,774.541,1557.74,248.093,4863.224,95.406,43.932,196.796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BRA,159265011.0,1391783968768.0,10.086,0.063,254.002,9.696,3.969,2097.899,399.491,23.521,13.172,1.507,1.166,1.595,0.183,0.141,43.667,0.274,275.678,1.731,0.198,288.89,5673.869,82856.016,1041.056,82.058,95.621,77416.305,4146.515,19.73,11174.377,1.292,8.004,0.05,8.985,0.056,2.551,15.145,1843.897,11.578,420.674,2.641,111.941,0.703,179.162,1.125,0.026,4.098,1798.857,1.711,1.105,7.264,0.51,1.998,0.63,5.278,0.22,0.888,0.101,11.487,1.352,0.724,2.543,0.221,31.309,1.937,1.894,4.526,0.015,0.031,0.047,0.002,2412.048,406.304,21.676,8.534,1.1345270028695881e-05,1.5948386805435778e-06,1.298264702387298e-09,1.8250102436863192e-10,1730.256,1652.104,1624.042,244.306,233.601,229.394,1.3327901869076197e-09,1.3521569865017929e-09,1.3387645283622642e-09,1.8818523929560307e-10,1.9118967341269393e-10,1.8909889659204212e-10
Brazil,1995,BRA,161735036.0,1468835168256.0,4.169,3.482,537.942,87.004,45.168,7.86,2.253,4.66,89.445,4.872,6.398,851.577,137.73,33.65,5.442,-1.898,-0.462,147.727,23.893,1.975,7.377,391.92,2252.178,275.601,19.696,5.873,106.127,11828.177,1.302,6.261,61.879,83.987,13.584,6493.509,1050.228,4.929,56.252,10.367,4.913,52.305,3.461,0.56,323.399,10.367,4.913,323.399,52.305,0.203,2.802,31.21,4.615,31.111,705.292,1569.883,253.905,4360.786,92.128,37.777,5.232,42.08,816.774,1620.044,262.018,5050.073,95.071,43.748,42.99,10.969,4480.0,6.844,6.997,15.575,2.519,43.263,0.914,0.375,6.246,50.567,860.193,46.876,7.581,5318.533,3.488,14.7,2696.827,436.171,2.751,46.074,17.48,5.594,8.82,3.814,0.642,34.586,7.895,108.081,2.03,0.233,0.936,1704.031,1913.031,4.489,35.235,809.776,1604.469,259.499,5006.809,94.157,43.373,196.796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BRA,161735079.0,1468835168256.0,11.528,0.071,268.678,14.676,5.778,2045.516,-52.383,-2.497,12.647,1.393,1.069,1.661,0.183,0.14,45.582,0.282,298.741,1.847,0.203,300.418,5942.547,84901.539,1086.638,89.572,105.224,79193.148,4336.861,23.834,11697.941,1.302,7.514,0.046,9.603,0.059,2.617,14.897,1776.839,10.986,427.42,2.643,113.742,0.703,190.347,1.177,0.025,4.104,1912.793,1.849,1.142,7.062,0.518,1.991,0.643,5.311,0.226,0.936,0.106,11.657,1.372,0.808,2.302,0.228,32.708,2.039,1.836,4.572,0.015,0.032,0.049,0.002,2409.293,423.201,30.063,11.189,1.182817926970374e-05,1.6612227950870096e-06,1.302413668561197e-09,1.8291909521679747e-10,1806.904,1730.256,1652.104,254.002,244.306,233.601,1.298264702387298e-09,1.3327901869076197e-09,1.3521569865017929e-09,1.8250102436863192e-10,1.8818523929560307e-10,1.9118967341269393e-10
Brazil,1996,BRA,164202497.0,1520364945408.0,3.318,2.887,547.438,89.891,45.168,7.86,2.253,4.534,89.445,3.187,4.389,865.511,142.119,36.697,6.026,-6.801,-1.625,135.611,22.268,2.069,7.169,391.92,2252.178,291.246,19.529,6.147,117.601,12366.629,1.336,7.264,76.286,99.438,16.328,6860.518,1126.514,5.606,56.826,10.176,5.323,57.627,5.933,0.974,350.954,9.278,4.853,348.092,57.158,0.334,2.907,31.21,4.659,32.863,738.155,1618.342,265.736,4495.395,91.241,37.235,4.523,39.121,855.895,1674.259,274.918,5212.436,94.394,43.174,42.99,10.969,-3.652,-0.256,6.742,14.781,2.427,41.057,0.833,0.34,7.739,66.574,926.768,56.809,9.328,5644.053,13.41,58.491,3012.515,494.662,3.203,46.75,21.102,6.753,8.82,20.719,3.622,41.124,7.895,128.513,2.319,0.233,1.064,1773.697,2030.631,4.582,39.377,849.153,1659.479,272.491,5171.379,93.56,42.834,196.796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.006,0.006,0.012,0.002,0.034,0.001,0.0,BRA,164202549.0,1520364945408.0,13.884,0.085,289.311,20.633,7.679,1979.019,-66.498,-3.251,12.052,1.302,0.977,1.762,0.19,0.143,46.468,0.283,321.987,1.961,0.212,314.302,6231.858,86880.547,1133.106,97.393,115.832,80882.852,4543.143,28.082,12198.168,1.332,7.821,0.048,10.608,0.065,2.732,14.495,1689.708,10.29,417.847,2.545,109.234,0.665,206.281,1.256,0.026,4.248,2025.349,2.182,1.193,6.538,0.515,1.999,0.657,5.333,0.231,0.982,0.112,11.801,1.395,0.886,2.232,0.241,28.103,2.144,1.913,4.609,0.015,0.033,0.05,0.002,2380.073,448.544,32.676,11.294,1.2366626799834764e-05,1.7619154012036573e-06,1.335620770613773e-09,1.9029049628762747e-10,1913.031,1806.904,1730.256,268.678,254.002,244.306,1.302413668561197e-09,1.298264702387298e-09,1.3327901869076197e-09,1.8291909521679747e-10,1.8250102436863192e-10,1.8818523929560307e-10
Brazil,1997,BRA,166661609.0,1591956078592.0,-3.792,-3.409,518.907,86.482,45.168,7.86,2.253,4.121,89.445,0.6,0.852,857.854,142.971,43.863,7.31,17.013,3.788,156.34,26.056,2.374,6.813,391.92,2252.178,307.981,19.477,5.839,118.573,12895.617,1.35,6.989,78.73,110.741,18.456,7231.688,1205.245,5.993,57.433,8.672,4.997,62.625,7.062,1.177,375.761,8.851,5.059,373.311,62.217,0.382,2.984,31.21,4.981,36.769,774.924,1673.886,278.973,4649.683,90.581,36.927,3.07,37.384,893.279,1737.199,289.524,5359.834,94.007,42.567,42.99,10.969,30.573,2.061,8.803,19.015,3.169,52.818,1.029,0.419,7.864,72.881,999.648,59.816,9.969,5998.073,7.201,35.621,3181.797,530.283,3.237,47.636,23.059,7.379,8.82,9.274,1.957,44.275,7.895,138.36,2.396,0.233,1.099,1847.941,2149.204,2.885,35.322,884.476,1718.185,286.355,5307.016,92.978,42.148,196.796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.006,0.011,0.024,0.004,0.067,0.001,0.001,BRA,166661663.0,1591956078592.0,15.267,0.092,306.949,17.638,6.097,2088.946,109.927,5.555,12.534,1.312,0.97,1.842,0.193,0.143,47.044,0.282,342.514,2.055,0.215,329.569,6538.807,88969.5,1180.151,105.997,127.695,82664.852,4762.975,32.42,12775.408,1.353,8.604,0.052,11.863,0.071,2.822,14.837,1781.997,10.692,427.563,2.565,111.889,0.671,219.833,1.319,0.026,4.338,2153.253,2.305,1.258,6.567,0.524,2.012,0.672,5.357,0.236,1.032,0.118,11.932,1.42,0.955,2.439,0.268,24.06,2.251,1.939,4.646,0.016,0.034,0.051,0.002,2472.712,470.327,35.565,11.587,1.2895615330342738e-05,1.8417492929972633e-06,1.3500397585722693e-09,1.9281248027362663e-10,2030.631,1913.031,1806.904,289.311,268.678,254.002,1.335620770613773e-09,1.302413668561197e-09,1.298264702387298e-09,1.9029049628762747e-10,1.8291909521679747e-10,1.8250102436863192e-10
Brazil,1998,BRA,169159594.0,1617675812864.0,-0.63,-0.545,508.025,85.937,45.168,7.86,2.253,3.93,89.445,-2.05,-2.931,827.859,140.04,41.225,6.974,-2.145,-0.559,150.728,25.497,2.167,6.405,391.92,2252.178,321.749,19.541,4.198,90.228,13238.576,1.384,4.409,53.141,115.301,19.504,7439.046,1258.386,6.062,57.553,4.801,3.007,65.632,7.809,1.321,387.986,4.752,2.957,385.277,65.173,0.411,3.002,31.21,4.48,34.713,809.637,1723.043,291.469,4786.229,90.589,37.029,3.238,34.833,928.111,1786.741,302.244,5486.601,93.938,42.447,42.99,10.969,3.029,0.267,9.069,19.301,3.265,53.615,1.015,0.415,5.308,53.066,1052.714,66.266,11.21,6223.202,15.534,82.376,3621.782,612.659,3.484,48.146,23.454,7.505,8.82,1.711,0.395,44.368,7.895,138.649,2.333,0.233,1.073,1902.042,2239.432,3.24,34.566,919.042,1767.44,298.979,5432.986,92.923,42.033,196.796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.003,0.014,0.03,0.005,0.082,0.002,0.001,BRA,169159651.0,1617675812864.0,16.175,0.096,317.359,10.41,3.391,2337.889,248.944,11.917,13.821,1.445,1.049,1.876,0.196,0.142,45.591,0.27,349.155,2.064,0.216,345.744,6856.167,91307.383,1225.741,115.46,140.106,84685.383,4992.553,36.561,13032.864,1.378,9.463,0.056,12.411,0.073,2.898,15.808,2020.53,11.945,436.628,2.581,123.024,0.727,229.578,1.357,0.024,4.141,2229.139,2.45,1.306,7.678,0.522,2.029,0.688,5.399,0.241,1.088,0.125,12.116,1.446,1.011,2.812,0.278,32.884,2.323,1.877,4.694,0.016,0.035,0.053,0.002,2674.052,490.159,31.796,10.019,1.3238575164705032e-05,1.8760915982263293e-06,1.3843515382944478e-09,1.961820764558101e-10,2149.204,2030.631,1913.031,306.949,289.311,268.678,1.3500397585722693e-09,1.335620770613773e-09,1.302413668561197e-09,1.9281248027362663e-10,1.9029049628762747e-10,1.8291909521679747e-10
Brazil,1999,BRA,171641487.0,1645888012288.0,0.278,0.239,502.072,86.176,45.168,7.86,2.253,3.888,89.445,1.262,1.768,826.186,141.808,56.6,9.715,2.459,0.627,152.201,26.124,2.902,6.397,391.92,2252.178,334.726,20.033,1.364,30.539,13225.073,1.379,1.667,20.982,168.984,29.005,7453.723,1279.368,8.665,57.716,18.663,12.249,77.88,15.456,2.653,453.739,17.418,11.352,445.843,76.525,0.793,3.513,31.21,0.525,4.252,813.889,1707.047,293.0,4741.796,87.534,36.717,0.863,9.182,937.293,1779.028,305.355,5460.76,91.225,42.284,42.99,10.969,21.807,1.978,11.047,23.17,3.977,64.362,1.188,0.498,0.662,6.965,1059.68,96.928,16.637,6173.798,12.941,79.286,4031.34,691.945,4.97,47.805,26.175,8.376,8.82,11.602,2.721,48.799,7.895,152.498,2.502,0.233,1.181,1950.148,2269.971,0.685,7.204,926.246,1755.858,301.378,5396.398,90.037,41.786,196.796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-60.0,-0.008,0.006,0.012,0.002,0.032,0.001,0.0,BRA,171641544.0,1645888012288.0,16.439,0.096,327.256,9.897,3.119,2379.742,41.852,1.79,13.865,1.446,1.055,1.907,0.199,0.145,46.805,0.273,333.147,1.941,0.202,362.183,7183.422,93687.125,1272.546,125.583,154.175,86737.859,5228.022,40.913,12995.942,1.37,10.123,0.059,14.069,0.082,2.947,15.729,2052.486,11.958,443.736,2.585,123.907,0.722,235.468,1.372,0.025,4.352,2254.618,2.373,1.317,7.712,0.528,2.042,0.703,5.44,0.246,1.148,0.132,12.304,1.471,1.067,3.068,0.305,34.191,2.323,1.985,4.742,0.016,0.036,0.054,0.002,2699.725,505.828,5.891,1.8,1.3225071861559825e-05,1.9066246572566256e-06,1.3791770661507175e-09,1.9883248286441509e-10,2239.432,2149.204,2030.631,317.359,306.949,289.311,1.3843515382944478e-09,1.3500397585722693e-09,1.335620770613773e-09,1.961820764558101e-10,1.9281248027362663e-10,1.9029049628762747e-10
Brazil,2000,BRA,174018229.0,1739727962112.0,-12.863,-11.085,431.513,75.091,45.168,7.86,2.253,3.252,89.445,6.61,9.374,868.768,151.181,62.81,10.93,19.535,5.103,179.448,31.227,3.132,6.548,391.92,2252.178,348.93,20.051,4.154,94.284,13586.25,1.359,5.272,67.444,175.959,30.62,7739.489,1346.812,8.775,58.334,24.608,19.165,97.045,23.388,4.07,557.672,0.747,0.572,443.041,77.097,1.166,4.203,31.21,3.892,31.676,845.565,1749.242,304.4,4859.058,87.238,36.623,0.476,24.708,962.001,1829.176,318.31,5528.163,91.225,41.666,42.99,10.969,52.024,5.747,16.794,34.766,6.05,96.51,1.734,0.727,3.671,38.906,1098.586,89.761,15.62,6313.049,12.761,88.3,4483.7,780.245,4.477,47.582,24.548,7.855,8.82,-6.216,-1.627,45.141,7.895,141.066,2.251,0.233,1.063,2005.135,2364.255,-0.053,18.961,945.207,1794.41,312.26,5431.653,89.491,40.939,196.796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,-0.003,0.003,0.0,0.0,0.016,0.0,0.0,BRA,174018276.0,1739727962112.0,16.047,0.092,340.183,12.927,3.95,2193.676,-186.066,-7.819,12.606,1.261,0.931,1.955,0.196,0.144,50.46,0.29,350.307,2.013,0.201,378.23,7523.605,95880.805,1323.006,136.32,172.618,88591.359,5467.51,45.921,13400.32,1.355,10.737,0.062,18.442,0.106,2.996,14.988,1853.493,10.651,451.66,2.595,123.531,0.71,239.488,1.376,0.029,5.008,2356.764,2.216,1.333,7.121,0.548,2.049,0.718,5.47,0.252,1.208,0.142,12.473,1.495,1.134,3.094,0.388,34.99,2.332,2.315,4.78,0.017,0.037,0.055,0.002,2608.235,521.399,10.124,2.976,1.3586249058999366e-05,1.954869383949063e-06,1.3589797091781147e-09,1.9553804238854886e-10,2269.971,2239.432,2149.204,327.256,317.359,306.949,1.3791770661507175e-09,1.3843515382944478e-09,1.3500397585722693e-09,1.9883248286441509e-10,1.961820764558101e-10,1.9281248027362663e-10
Brazil,2001,BRA,176301154.0,1785513115648.0,-6.261,-4.702,399.257,70.39,51.162,9.02,2.745,3.121,105.737,-1.583,-2.393,843.942,148.788,62.847,11.08,-14.149,-4.418,152.063,26.809,3.372,6.596,366.4,2078.262,328.55,18.892,-2.546,-60.204,13068.838,1.29,2.282,30.729,211.797,37.34,7813.568,1377.541,11.365,61.071,26.603,25.817,122.862,56.267,9.92,696.887,2.128,1.641,446.611,78.738,3.019,5.447,34.74,-12.0,-105.576,739.989,1519.446,267.88,4197.301,81.534,32.806,-8.082,-83.886,878.115,1651.776,291.21,4980.766,88.635,38.929,37.85,10.33,136.173,22.65,39.445,80.998,14.28,223.735,4.346,1.749,0.665,7.305,1105.891,92.682,16.34,6272.739,4.677,36.496,4632.649,816.741,4.973,49.027,28.195,9.022,8.82,14.857,3.647,51.176,7.895,159.925,2.746,0.233,1.25,1863.573,2304.051,-10.334,-106.537,838.67,1570.778,276.93,4757.03,84.289,37.181,196.796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3390.0,0.094,0.096,0.17,0.03,0.547,0.009,0.004,BRA,176301200.0,1785513115648.0,15.227,0.086,346.166,5.983,1.759,2094.904,-98.772,-4.503,11.883,1.173,0.912,1.963,0.194,0.151,49.427,0.28,343.195,1.947,0.192,393.457,7869.771,97975.711,1372.433,148.041,195.803,90340.102,5709.305,50.732,12893.828,1.287,11.721,0.066,23.186,0.132,2.983,14.659,1748.738,9.919,464.504,2.635,127.461,0.723,241.795,1.371,0.027,4.811,2297.833,2.011,1.347,6.875,0.534,2.047,0.733,5.494,0.256,1.274,0.155,12.635,1.518,1.19,3.492,0.484,36.698,2.337,2.255,4.817,0.017,0.037,0.056,0.002,2584.388,525.819,-2.971,-0.858,1.3068836747375951e-05,1.963492023877308e-06,1.2904139318874798e-09,1.9387480101167956e-10,2364.255,2269.971,2239.432,340.183,327.256,317.359,1.3589797091781147e-09,1.3791770661507175e-09,1.3843515382944478e-09,1.9553804238854886e-10,1.9883248286441509e-10,1.961820764558101e-10
Brazil,2002,BRA,178503419.0,1861742362624.0,8.37,5.892,427.339,76.281,57.534,10.27,2.971,3.318,97.304,-3.211,-4.778,806.765,144.01,51.091,9.12,11.132,2.984,166.905,29.793,2.638,6.265,382.28,2141.584,345.72,19.699,2.061,47.484,13173.614,1.263,-0.658,-9.059,198.652,35.46,7666.419,1368.482,10.257,59.532,18.151,22.301,145.163,69.522,12.41,813.22,20.813,16.388,532.907,95.126,3.59,6.315,33.64,6.8,43.825,783.814,1602.714,286.09,4391.032,82.752,34.097,6.897,52.149,930.264,1738.118,310.26,5211.462,89.743,40.468,36.56,9.564,-3.102,-1.538,37.907,77.534,13.84,212.359,4.003,1.649,-2.404,-26.582,1079.309,78.038,13.93,6046.435,11.932,97.454,5121.446,914.196,4.029,46.952,32.094,10.27,8.82,13.829,3.899,57.535,7.895,179.796,2.971,0.233,1.396,1936.77,2351.535,7.308,53.687,892.357,1660.584,296.42,4999.103,85.74,38.819,196.796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.785,0.071,0.167,0.336,0.06,0.936,0.017,0.007,BRA,178503483.0,1861742362624.0,14.39,0.081,347.765,1.599,0.462,2242.24,147.336,7.033,12.561,1.204,0.954,1.948,0.187,0.148,48.689,0.273,331.7,1.858,0.178,407.847,8217.536,100217.945,1421.122,159.259,225.096,92234.57,5948.524,55.688,13021.791,1.262,11.218,0.063,29.293,0.164,2.971,15.524,1894.475,10.613,486.977,2.728,132.59,0.743,239.219,1.34,0.028,4.956,2350.13,1.833,1.323,7.14,0.503,2.039,0.748,5.522,0.261,1.333,0.171,12.808,1.539,1.243,3.456,0.593,36.943,2.315,2.291,4.86,0.017,0.038,0.058,0.002,2771.022,530.314,-16.065,-4.62,1.3173613218019014e-05,1.9482252903714937e-06,1.2630829309194373e-09,1.867954487052917e-10,2304.051,2364.255,2269.971,346.166,340.183,327.256,1.2904139318874798e-09,1.3589797091781147e-09,1.3791770661507175e-09,1.9387480101167956e-10,1.9553804238854886e-10,1.9883248286441509e-10
