country,ds,y
Brazil,1993-01-01,244.306
Brazil,1994-01-01,254.002
Brazil,1995-01-01,268.678
Brazil,1996-01-01,289.311
Brazil,1997-01-01,306.949
Brazil,1998-01-01,317.359
Brazil,1999-01-01,327.256
Brazil,2000-01-01,340.183
Brazil,2001-01-01,346.166
Brazil,2002-01-01,347.765
Brazil,2003-01-01,344.645
Brazil,2004-01-01,361.434
Brazil,2005-01-01,364.371
Brazil,2006-01-01,368.871
Brazil,2007-01-01,390.573
Brazil,2008-01-01,412.638
Brazil,2009-01-01,389.775
Brazil,2010-01-01,440.269
Brazil,2011-01-01,462.58
Brazil,2012-01-01,498.309
Brazil,2013-01-01,532.418
Brazil,2014-01-01,557.901
Brazil,2015-01-01,529.353
Brazil,2016-01-01,492.748
Brazil,2017-01-01,498.266
Brazil,2018-01-01,478.379
Brazil,2019-01-01,473.39
Brazil,2020-01-01,445.208
Brazil,2021-01-01,498.017
Brazil,2022-01-01,483.841
Brazil,2023-01-01,486.47
Brazil,2024-01-01,486.47
Canada,1993-01-01,464.16
Canada,1994-01-01,478.631
Canada,1995-01-01,491.414
Canada,1996-01-01,507.729
Canada,1997-01-01,522.022
Canada,1998-01-01,529.636
Canada,1999-01-01,543.866
Canada,2000-01-01,566.261
Canada,2001-01-01,558.36
Canada,2002-01-01,563.729
Canada,2003-01-01,580.792
Canada,2004-01-01,579.163
Canada,2005-01-01,572.855
Canada,2006-01-01,568.173
Canada,2007-01-01,591.889
Canada,2008-01-01,575.77
Canada,2009-01-01,542.811
Canada,2010-01-01,554.734
Canada,2011-01-01,563.32
Canada,2012-01-01,564.221
Canada,2013-01-01,568.854
Canada,2014-01-01,566.469
Canada,2015-01-01,565.644
Canada,2016-01-01,558.872
Canada,2017-01-01,569.603
Canada,2018-01-01,579.079
Canada,2019-01-01,582.025
Canada,2020-01-01,526.582
Canada,2021-01-01,540.312
Canada,2022-01-01,550.612
Canada,2023-01-01,549.299
Canada,2024-01-01,549.299
China,1993-01-01,2921.651
China,1994-01-01,3103.739
China,1995-01-01,3361.637
China,1996-01-01,3508.818
China,1997-01-01,3515.594
China,1998-01-01,3364.587
China,1999-01-01,3557.275
China,2000-01-01,3649.227
China,2001-01-01,3728.51
China,2002-01-01,4103.046
China,2003-01-01,4841.119
China,2004-01-01,5217.351
China,2005-01-01,5882.106
China,2006-01-01,6494.331
China,2007-01-01,6983.547
China,2008-01-01,7501.498
China,2009-01-01,7891.078
China,2010-01-01,8620.576
China,2011-01-01,9532.332
China,2012-01-01,9779.292
China,2013-01-01,9956.329
China,2014-01-01,9990.257
China,2015-01-01,9863.457
China,2016-01-01,9762.714
China,2017-01-01,10006.343
China,2018-01-01,10332.992
China,2019-01-01,10713.984
China,2020-01-01,10905.693
China,2021-01-01,11447.913
China,2022-01-01,11350.538
China,2023-01-01,11902.503
China,2024-01-01,11902.503
France,1993-01-01,387.699
France,1994-01-01,380.793
France,1995-01-01,385.81
France,1996-01-01,402.156
France,1997-01-01,394.845
France,1998-01-01,413.259
France,1999-01-01,412.021
France,2000-01-01,406.139
France,2001-01-01,410.445
France,2002-01-01,405.947
France,2003-01-01,411.965
France,2004-01-01,413.379
France,2005-01-01,415.795
France,2006-01-01,406.157
France,2007-01-01,396.01
France,2008-01-01,389.094
France,2009-01-01,370.876
France,2010-01-01,376.457
France,2011-01-01,354.375
France,2012-01-01,356.439
France,2013-01-01,358.703
France,2014-01-01,326.842
France,2015-01-01,331.49
France,2016-01-01,334.2
France,2017-01-01,337.101
France,2018-01-01,321.94
France,2019-01-01,315.015
France,2020-01-01,280.49
France,2021-01-01,305.607
France,2022-01-01,293.502
France,2023-01-01,272.476
France,2024-01-01,272.476
Germany,1993-01-01,959.386
Germany,1994-01-01,943.228
Germany,1995-01-01,939.934
Germany,1996-01-01,959.69
Germany,1997-01-01,931.508
Germany,1998-01-01,923.499
Germany,1999-01-01,895.442
Germany,2000-01-01,898.976
Germany,2001-01-01,915.255
Germany,2002-01-01,898.834
Germany,2003-01-01,894.501
Germany,2004-01-01,876.57
Germany,2005-01-01,867.881
Germany,2006-01-01,886.434
Germany,2007-01-01,846.116
Germany,2008-01-01,856.607
Germany,2009-01-01,789.951
Germany,2010-01-01,826.68
Germany,2011-01-01,804.514
Germany,2012-01-01,814.09
Germany,2013-01-01,831.743
Germany,2014-01-01,792.579
Germany,2015-01-01,800.844
Germany,2016-01-01,798.014
Germany,2017-01-01,784.594
Germany,2018-01-01,760.046
Germany,2019-01-01,709.827
Germany,2020-01-01,648.357
Germany,2021-01-01,678.777
Germany,2022-01-01,671.472
Germany,2023-01-01,596.151
Germany,2024-01-01,596.151
India,1993-01-01,677.299
India,1994-01-01,714.064
India,1995-01-01,760.462
India,1996-01-01,823.621
India,1997-01-01,858.011
India,1998-01-01,875.772
India,1999-01-01,960.763
India,2000-01-01,986.445
India,2001-01-01,1000.527
India,2002-01-01,1032.14
India,2003-01-01,1067.737
India,2004-01-01,1133.828
India,2005-01-01,1194.592
India,2006-01-01,1292.485
India,2007-01-01,1392.506
India,2008-01-01,1489.437
India,2009-01-01,1612.216
India,2010-01-01,1677.337
India,2011-01-01,1764.712
India,2012-01-01,1925.7
India,2013-01-01,1995.098
India,2014-01-01,2148.344
India,2015-01-01,2234.219
India,2016-01-01,2354.658
India,2017-01-01,2426.607
India,2018-01-01,2593.058
India,2019-01-01,2612.888
India,2020-01-01,2421.552
India,2021-01-01,2674.222
India,2022-01-01,2831.166
India,2023-01-01,3062.324
India,2024-01-01,3062.324
Indonesia,1993-01-01,215.109
Indonesia,1994-01-01,219.372
Indonesia,1995-01-01,222.41
Indonesia,1996-01-01,253.065
Indonesia,1997-01-01,279.941
Indonesia,1998-01-01,244.523
Indonesia,1999-01-01,292.001
Indonesia,2000-01-01,281.33
Indonesia,2001-01-01,317.027
Indonesia,2002-01-01,308.486
Indonesia,2003-01-01,339.357
Indonesia,2004-01-01,343.022
Indonesia,2005-01-01,347.617
Indonesia,2006-01-01,346.633
Indonesia,2007-01-01,387.858
Indonesia,2008-01-01,365.718
Indonesia,2009-01-01,398.942
Indonesia,2010-01-01,445.806
Indonesia,2011-01-01,500.725
Indonesia,2012-01-01,515.954
Indonesia,2013-01-01,489.055
Indonesia,2014-01-01,487.89
Indonesia,2015-01-01,539.149
Indonesia,2016-01-01,540.086
Indonesia,2017-01-01,556.944
Indonesia,2018-01-01,594.101
Indonesia,2019-01-01,653.792
Indonesia,2020-01-01,608.223
Indonesia,2021-01-01,619.622
Indonesia,2022-01-01,737.073
Indonesia,2023-01-01,733.224
Indonesia,2024-01-01,733.224
Iran,1993-01-01,236.993
Iran,1994-01-01,264.822
Iran,1995-01-01,270.875
Iran,1996-01-01,276.62
Iran,1997-01-01,269.263
Iran,1998-01-01,305.642
Iran,1999-01-01,374.452
Iran,2000-01-01,367.213
Iran,2001-01-01,389.909
Iran,2002-01-01,397.031
Iran,2003-01-01,410.967
Iran,2004-01-01,442.119
Iran,2005-01-01,466.784
Iran,2006-01-01,501.018
Iran,2007-01-01,507.775
Iran,2008-01-01,528.536
Iran,2009-01-01,543.413
Iran,2010-01-01,561.496
Iran,2011-01-01,576.146
Iran,2012-01-01,599.121
Iran,2013-01-01,609.839
Iran,2014-01-01,644.151
Iran,2015-01-01,641.911
Iran,2016-01-01,644.684
Iran,2017-01-01,696.4
Iran,2018-01-01,689.783
Iran,2019-01-01,735.347
Iran,2020-01-01,756.606
Iran,2021-01-01,779.756
Iran,2022-01-01,800.747
Iran,2023-01-01,817.88
Iran,2024-01-01,817.88
Japan,1993-01-01,1171.892
Japan,1994-01-01,1226.893
Japan,1995-01-01,1239.195
Japan,1996-01-01,1251.695
Japan,1997-01-01,1244.395
Japan,1998-01-01,1204.594
Japan,1999-01-01,1241.195
Japan,2000-01-01,1263.993
Japan,2001-01-01,1249.393
Japan,2002-01-01,1278.995
Japan,2003-01-01,1287.495
Japan,2004-01-01,1282.895
Japan,2005-01-01,1290.296
Japan,2006-01-01,1267.295
Japan,2007-01-01,1302.996
Japan,2008-01-01,1232.196
Japan,2009-01-01,1163.393
Japan,2010-01-01,1214.798
Japan,2011-01-01,1264.797
Japan,2012-01-01,1305.998
Japan,2013-01-01,1315.298
Japan,2014-01-01,1263.806
Japan,2015-01-01,1223.199
Japan,2016-01-01,1203.184
Japan,2017-01-01,1187.484
Japan,2018-01-01,1142.481
Japan,2019-01-01,1105.478
Japan,2020-01-01,1040.483
Japan,2021-01-01,1061.905
Japan,2022-01-01,1032.687
Japan,2023-01-01,988.785
Japan,2024-01-01,988.785
Russia,1993-01-01,1866.729
Russia,1994-01-01,1647.665
Russia,1995-01-01,1619.727
Russia,1996-01-01,1586.822
Russia,1997-01-01,1482.245
Russia,1998-01-01,1465.253
Russia,1999-01-01,1494.179
Russia,2000-01-01,1479.142
Russia,2001-01-01,1515.647
Russia,2002-01-01,1506.788
Russia,2003-01-01,1537.018
Russia,2004-01-01,1543.957
Russia,2005-01-01,1562.577
Russia,2006-01-01,1623.002
Russia,2007-01-01,1623.781
Russia,2008-01-01,1652.064
Russia,2009-01-01,1545.034
Russia,2010-01-01,1632.783
Russia,2011-01-01,1685.91
Russia,2012-01-01,1701.268
Russia,2013-01-01,1640.437
Russia,2014-01-01,1639.959
Russia,2015-01-01,1638.675
Russia,2016-01-01,1634.885
Russia,2017-01-01,1666.121
Russia,2018-01-01,1712.494
Russia,2019-01-01,1705.031
Russia,2020-01-01,1632.929
Russia,2021-01-01,1711.993
Russia,2022-01-01,1802.19
Russia,2023-01-01,1815.925
Russia,2024-01-01,1815.925
Saudi Arabia,1993-01-01,297.833
Saudi Arabia,1994-01-01,291.289
Saudi Arabia,1995-01-01,274.692
Saudi Arabia,1996-01-01,269.594
Saudi Arabia,1997-01-01,227.241
Saudi Arabia,1998-01-01,219.013
Saudi Arabia,1999-01-01,237.822
Saudi Arabia,2000-01-01,309.76
Saudi Arabia,2001-01-01,324.516
Saudi Arabia,2002-01-01,347.097
Saudi Arabia,2003-01-01,351.405
Saudi Arabia,2004-01-01,407.882
Saudi Arabia,2005-01-01,412.411
Saudi Arabia,2006-01-01,445.168
Saudi Arabia,2007-01-01,423.532
Saudi Arabia,2008-01-01,469.713
Saudi Arabia,2009-01-01,504.28
Saudi Arabia,2010-01-01,555.962
Saudi Arabia,2011-01-01,540.579
Saudi Arabia,2012-01-01,606.102
Saudi Arabia,2013-01-01,583.611
Saudi Arabia,2014-01-01,585.568
Saudi Arabia,2015-01-01,624.999
Saudi Arabia,2016-01-01,641.662
Saudi Arabia,2017-01-01,613.685
Saudi Arabia,2018-01-01,637.487
Saudi Arabia,2019-01-01,657.588
Saudi Arabia,2020-01-01,616.086
Saudi Arabia,2021-01-01,695.842
Saudi Arabia,2022-01-01,723.331
Saudi Arabia,2023-01-01,736.205
Saudi Arabia,2024-01-01,736.205
South Korea,1993-01-01,330.174
South Korea,1994-01-01,355.695
South Korea,1995-01-01,383.665
South Korea,1996-01-01,420.996
South Korea,1997-01-01,444.968
South Korea,1998-01-01,378.038
South Korea,1999-01-01,410.519
South Korea,2000-01-01,439.981
South Korea,2001-01-01,455.631
South Korea,2002-01-01,476.065
South Korea,2003-01-01,485.213
South Korea,2004-01-01,491.389
South Korea,2005-01-01,498.688
South Korea,2006-01-01,503.478
South Korea,2007-01-01,521.709
South Korea,2008-01-01,532.651
South Korea,2009-01-01,537.82
South Korea,2010-01-01,594.339
South Korea,2011-01-01,623.443
South Korea,2012-01-01,627.943
South Korea,2013-01-01,634.581
South Korea,2014-01-01,629.366
South Korea,2015-01-01,634.177
South Korea,2016-01-01,637.914
South Korea,2017-01-01,654.537
South Korea,2018-01-01,670.169
South Korea,2019-01-01,646.102
South Korea,2020-01-01,597.634
South Korea,2021-01-01,616.075
South Korea,2022-01-01,602.092
South Korea,2023-01-01,577.417
South Korea,2024-01-01,577.417
Ukraine,1993-01-01,510.32
Ukraine,1994-01-01,419.492
Ukraine,1995-01-01,390.072
Ukraine,1996-01-01,351.77
Ukraine,1997-01-01,340.514
Ukraine,1998-01-01,328.808
Ukraine,1999-01-01,298.579
Ukraine,2000-01-01,285.674
Ukraine,2001-01-01,303.891
Ukraine,2002-01-01,295.901
Ukraine,2003-01-01,307.245
Ukraine,2004-01-01,310.626
Ukraine,2005-01-01,313.531
Ukraine,2006-01-01,333.062
Ukraine,2007-01-01,336.82
Ukraine,2008-01-01,325.983
Ukraine,2009-01-01,277.593
Ukraine,2010-01-01,294.366
Ukraine,2011-01-01,308.376
Ukraine,2012-01-01,304.424
Ukraine,2013-01-01,297.479
Ukraine,2014-01-01,257.639
Ukraine,2015-01-01,223.788
Ukraine,2016-01-01,233.961
Ukraine,2017-01-01,223.081
Ukraine,2018-01-01,231.664
Ukraine,2019-01-01,221.943
Ukraine,2020-01-01,206.824
Ukraine,2021-01-01,210.153
Ukraine,2022-01-01,141.126
Ukraine,2023-01-01,136.461
Ukraine,2024-01-01,136.461
United States,1993-01-01,5272.851
United States,1994-01-01,5364.279
United States,1995-01-01,5425.259
United States,1996-01-01,5612.983
United States,1997-01-01,5688.142
United States,1998-01-01,5733.281
United States,1999-01-01,5803.918
United States,2000-01-01,6010.136
