year,primary_energy_TWh,coal_TWh,oil_TWh,gas_TWh,renewables_TWh,electricity_TWh,population,gdp
1900,0.0,0.0,0.0,0.0,0.0,0.0,182516622195.0,131593526935680.0
1901,0.0,0.0,0.0,0.0,0.0,0.0,125899977352.0,2365510300672.0
1902,0.0,0.0,0.0,0.0,0.0,0.0,126925055442.0,2409206097152.0
1903,0.0,0.0,0.0,0.0,0.0,0.0,127997572761.0,2491202077056.0
1904,0.0,0.0,0.0,0.0,0.0,0.0,129083527411.0,2511262946176.0
1905,0.0,0.0,0.0,0.0,0.0,0.0,130183261471.0,2596670520704.0
1906,0.0,0.0,0.0,0.0,0.0,0.0,131297094984.0,2766008886400.0
1907,0.0,0.0,0.0,0.0,0.0,0.0,132426805232.0,2800908298752.0
1908,0.0,0.0,0.0,0.0,0.0,0.0,133572363548.0,2737871228544.0
1909,0.0,0.0,0.0,0.0,0.0,0.0,134658688415.0,2916956436224.0
1910,0.0,0.0,0.0,0.0,0.0,0.0,197778000420.0,5170587323008.0
1911,0.0,0.0,0.0,0.0,0.0,0.0,136645700099.0,3458596468992.0
1912,0.0,0.0,0.0,0.0,0.0,0.0,137552855105.0,3153783463680.0
1913,0.0,0.0,0.0,0.0,0.0,0.0,139312699083.0,18138171437440.0
1914,0.0,0.0,0.0,0.0,0.0,0.0,139262137982.0,3066486231296.0
1915,0.0,0.0,0.0,0.0,0.0,0.0,140132259126.0,3087628111104.0
1916,0.0,0.0,0.0,0.0,0.0,0.0,141006273752.0,3309991354368.0
1917,0.0,0.0,0.0,0.0,0.0,0.0,141886357647.0,3220160565504.0
1918,0.0,0.0,0.0,0.0,0.0,0.0,142809502597.0,3214727152128.0
1919,0.0,0.0,0.0,0.0,0.0,0.0,143807430574.0,3207626570240.0
1920,0.0,0.0,0.0,0.0,0.0,0.0,211301963651.0,174200897785856.0
1921,0.0,0.0,0.0,0.0,0.0,0.0,146907890143.0,9752231821824.0
1922,0.0,0.0,0.0,0.0,0.0,0.0,148138946194.0,10624415228416.0
1923,0.0,0.0,0.0,0.0,0.0,0.0,149433855708.0,11727587830272.0
1924,0.0,0.0,0.0,0.0,0.0,0.0,150748263195.0,13831290815232.0
1925,0.0,0.0,0.0,0.0,0.0,0.0,152083963812.0,16299224881152.0
1926,0.0,0.0,0.0,0.0,0.0,0.0,153436927717.0,17921488859136.0
1927,0.0,0.0,0.0,0.0,0.0,0.0,154807903151.0,18847596187904.0
1928,0.0,0.0,0.0,0.0,0.0,0.0,156199760694.0,20068450756864.0
1929,0.0,0.0,0.0,0.0,0.0,0.0,157634768787.0,21305898003072.0
1930,0.0,0.0,0.0,0.0,0.0,0.0,230735398157.0,21748978248704.0
1931,0.0,0.0,0.0,0.0,0.0,0.0,160648054736.0,21731895732480.0
1932,0.0,0.0,0.0,0.0,0.0,0.0,162223646286.0,21164064085248.0
1933,0.0,0.0,0.0,0.0,0.0,0.0,163841525648.0,21676094889984.0
1934,0.0,0.0,0.0,0.0,0.0,0.0,165478424065.0,23238084399360.0
1935,0.0,0.0,0.0,0.0,0.0,0.0,167135048510.0,25863781690368.0
1936,0.0,0.0,0.0,0.0,0.0,0.0,168817817924.0,27873856351744.0
1937,0.0,0.0,0.0,0.0,0.0,0.0,170524934809.0,30336288856576.0
1938,0.0,0.0,0.0,0.0,0.0,0.0,172266369171.0,28587517828608.0
1939,0.0,0.0,0.0,0.0,0.0,0.0,173944575111.0,29639151583744.0
1940,0.0,0.0,0.0,0.0,0.0,0.0,254680178881.0,288071421460992.0
1941,0.0,0.0,0.0,0.0,0.0,0.0,176429715255.0,5559868933632.0
1942,0.0,0.0,0.0,0.0,0.0,0.0,177813647643.0,5626999407616.0
1943,0.0,0.0,0.0,0.0,0.0,0.0,179111643489.0,5787369337344.0
1944,0.0,0.0,0.0,0.0,0.0,0.0,180418569412.0,5862334477824.0
1945,0.0,0.0,0.0,0.0,0.0,0.0,181683302768.0,5452417354752.0
1946,0.0,0.0,0.0,0.0,0.0,0.0,182888822570.0,23191727162880.0
1947,0.0,0.0,0.0,0.0,0.0,0.0,184749219572.0,26297023871488.0
1948,0.0,0.0,0.0,0.0,0.0,0.0,186258275999.0,31741327973376.0
1949,0.0,0.0,0.0,0.0,0.0,0.0,188153869856.0,34670104396800.0
1950,0.0,0.0,0.0,0.0,0.0,0.0,274755091165.0,326262823207504.0
1951,0.0,0.0,0.0,0.0,0.0,0.0,279452127460.0,39322964114240.0
1952,0.0,0.0,0.0,0.0,0.0,0.0,292793581412.0,42449528324064.0
1953,0.0,0.0,0.0,0.0,0.0,0.0,298296600333.0,44333114862784.0
1954,0.0,0.0,0.0,0.0,0.0,0.0,303995013422.0,46222622898288.0
1955,0.0,0.0,0.0,0.0,0.0,0.0,309967014952.0,50126956113392.0
1956,0.0,0.0,0.0,0.0,0.0,0.0,316031818829.0,54063707997808.0
1957,0.0,0.0,0.0,0.0,0.0,0.0,322321278573.0,55734073612496.0
1958,0.0,0.0,0.0,0.0,0.0,0.0,328775402231.0,59256633339536.0
1959,0.0,0.0,0.0,0.0,0.0,0.0,334807033061.0,59761116406720.0
1960,0.0,0.0,0.0,0.0,0.0,0.0,340283263232.0,531624072535200.0
1961,0.0,0.0,0.0,0.0,0.0,0.0,345749900166.0,68154063711680.0
1962,0.0,0.0,0.0,0.0,0.0,0.0,352176181629.0,70267633865536.0
1963,0.0,0.0,0.0,0.0,0.0,0.0,359756986281.0,70008617885696.0
1964,0.0,0.0,0.0,0.0,0.0,0.0,367569292734.0,77888458026688.0
1965,268637.99,101399.93400000001,111312.118,38182.015,16273.795,0.0,375249949669.0,82177146200992.0
1966,283139.91599999997,102297.69,120167.412,41619.091,17362.856,0.0,382814685023.0,86277302868864.0
1967,293505.18200000003,100632.174,128611.307,44726.901,17705.125,0.0,390353655836.0,89907820443840.0
1968,311176.828,102117.161,139458.345,48877.919,18643.768,0.0,398141226886.0,94972969771616.0
1969,332728.067,105293.719,151660.769,53772.205,19681.127,0.0,406196084333.0,97439872527936.0
1970,354328.147,106671.12700000001,165697.767,58618.331,20655.42,0.0,414323941556.0,872092908322400.0
