country,co2_per_capita_calc,energy_per_capita
ASEAN (Ember),,
Afghanistan,8.81086240778535e-08,3.0284862060388834e-07
Africa,0.0,0.0
Africa (EI),,
Africa (EIA),,
Africa (Ember),,
Africa (Shift),,
Albania,9.409553648593709e-07,3.1071435248210703e-06
Algeria,1.467950769346365e-06,4.968468609316464e-06
American Samoa,0.0,4.197198017522393e-05
Angola,3.4756651824996197e-07,8.439260400820073e-07
Antarctica,,
Antigua and Barbuda,5.1178568502511145e-06,2.9528673981772626e-05
Argentina,2.4580762288414666e-06,8.837625718032167e-06
Armenia,1.5994891142626306e-06,1.228425508337237e-05
Aruba,1.4396798951925339e-05,4.4680280936924575e-05
Asia,0.0,0.0
Asia & Oceania (EIA),,
Asia (Ember),,
Asia Pacific (EI),,
Asia and Oceania (Shift),,
Australia,1.0110591523045896e-05,2.8783863513168812e-05
Australia and New Zealand (EIA),,
Austria,5.522605774302982e-06,2.074733298240609e-05
Azerbaijan,4.514908899339009e-06,2.099625451982494e-05
Bahamas,6.905251873962168e-06,4.111180136751639e-05
Bahrain,1.466337069037028e-05,5.347644132684976e-05
Bangladesh,1.1547360393469637e-07,5.222265354103478e-07
Barbados,1.8982099526876698e-06,8.166165809311259e-06
Belarus,7.173825542884621e-06,3.265927641293464e-05
Belgium,9.859599435194287e-06,2.9308832475928684e-05
Belize,1.558704369866338e-06,8.006098805433735e-06
Benin,2.748912987556771e-07,1.2364417693421987e-06
Bermuda,8.880542757374177e-06,4.2267441104699e-05
Bhutan,9.375091225677536e-07,4.280836972854868e-06
Bolivia,5.951738806057028e-07,1.917876387023382e-06
Bosnia and Herzegovina,4.513208966310362e-06,1.492192981751771e-05
Botswana,7.9099964681442e-07,2.832008874730513e-06
Brazil,9.592094545067358e-07,5.661187485707388e-06
British Virgin Islands,5.417878242127302e-06,1.7862501832604632e-05
Brunei,1.7860183534298956e-05,3.49694878231047e-05
Bulgaria,3.952307309159088e-06,1.457617713727959e-05
Burkina Faso,1.201516074856662e-07,4.7430705845664127e-07
Burundi,1.7400410790245918e-08,7.1152412080507e-08
CIS (EI),,
Cambodia,3.510837160752693e-07,1.3158696891215565e-06
Cameroon,1.6228270208619863e-07,4.80464168985693e-07
Canada,1.2548797448102815e-05,5.089997133149855e-05
Cape Verde,6.963368568873423e-07,3.8658992571520906e-06
Cayman Islands,0.0,4.089860283433942e-05
Central & South America (EIA),,
Central African Republic,5.4577702502837005e-08,3.1070653093808964e-07
Central America (EI),,
Central and South America (Shift),,
Chad,7.493702481775797e-08,1.5933835149932695e-07
Chile,2.0866322003419103e-06,7.607229624577981e-06
China,1.8139212276073598e-06,5.9589435425340335e-06
Colombia,9.667875303831912e-07,4.074656651135413e-06
Comoros,2.2620429786312517e-07,8.652925398755935e-07
Congo,4.290582184971692e-07,8.49253524083551e-07
Cook Islands,3.372130083976734e-06,1.714241625126826e-05
Costa Rica,1.358559408709946e-06,7.088579734137542e-06
Cote d'Ivoire,2.267329198986713e-07,6.44091186086933e-07
Croatia,4.524352802773743e-06,2.2772047528050548e-05
Cuba,1.591803268703182e-06,3.9326776423562735e-06
Curacao,4.175288422913764e-05,0.0
Cyprus,5.4592955420472845e-06,2.270735259137219e-05
Czechia,1.3557344733871185e-05,5.122975176127753e-05
Czechoslovakia,0.0,0.0
Democratic Republic of Congo,6.598742233206467e-08,1.3665397068035264e-07
Denmark,6.820555595446829e-06,2.0079204360807413e-05
Djibouti,5.654143163488117e-07,6.920867354694978e-06
Dominica,1.595926808752682e-06,7.0185935059681354e-06
Dominican Republic,1.9314184124484156e-06,7.558784760394659e-06
EU (Ember),,
